season,epnumInSeason,epnum,date,name,wikilink,description,types,bday,genres,gender,category
3,5,51,1977-11-12,Ray Charles,/wiki/Ray_Charles,Singer-songwriter,Person,1930-09-23,"r&b,soul,blues,gospel,country,jazz,pop,rock and roll",Male,r&b
3,6,52,1977-11-19,Leon Redbone,/wiki/Leon_Redbone,Singer,Person,1949-08-26,"vaudevillian,ragtime,jazz,blues",Male,jazz
3,7,53,1977-12-10,Willie Nelson,/wiki/Willie_Nelson,Musician,Person,1933-04-29,"country,outlaw country,rock",Male,country
3,8,54,1977-12-17,Elvis Costello,/wiki/Elvis_Costello,Musician,Person,1954-08-25,"new wave,punk rock,pub rock",Male,new wave
3,9,55,1978-01-21,Randy Newman,/wiki/Randy_Newman,Singer-songwriter,Person,1943-11-28,"rock,pop",Male,
3,9,55,1978-01-21,The Nitty Gritty Dirt Band,/wiki/The_Nitty_Gritty_Dirt_Band,Rock band,MusicGroup,,"folk,country,folk rock,country rock,country pop,bluegrass",,folk rock
3,10,56,1978-01-28,Bonnie Raitt,/wiki/Bonnie_Raitt,Singer-songwriter,Person,1949-11-08,"blues,blue-eyed soul,blues rock,roots rock,americana",Female,blues
3,11,57,1978-02-18,Billy Joel,/wiki/Billy_Joel,Singer-songwriter,Person,1949-05-09,"rock,soft rock,piano rock,pop",Male,soft rock
3,12,58,1978-02-25,Ashford and Simpson,/wiki/Ashford_and_Simpson,Songwriter,MusicGroup,,"r&b,soul,funk,disco,gospel",,r&b
3,13,59,1978-03-11,Stephen Bishop,/wiki/Stephen_Bishop_(musician),Singer-songwriter,Person,1951-11-14,"blues rock,pop rock,soft rock",Male,pop rock
3,14,60,1978-03-18,Eddie Money,/wiki/Eddie_Money,Singer-songwriter,Person,1949-03-21,"rock,pop rock,hard rock",Male,pop rock
3,15,61,1978-03-25,Meat Loaf,/wiki/Meat_Loaf,Musician,Person,1947-09-27,"rock,hard rock,heavy metal,progressive rock,wagnerian rock",Male,hard rock
3,16,62,1978-04-08,Eugene Record,/wiki/Eugene_Record,Vocalist,Person,,"r&b,soul",Male,r&b
3,17,63,1978-04-15,Keith Jarrett,/wiki/Keith_Jarrett,Jazz pianist,Person,1945-05-08,"jazz,classical,jazz fusion,free improvisation",Male,jazz
3,18,64,1978-04-22,The Blues Brothers,/wiki/The_Blues_Brothers,Musical band,MusicGroup,,"blues,rhythm and blues",,blues
3,19,65,1978-05-13,Jimmy Buffett,/wiki/Jimmy_Buffett,Musician,Person,1946-12-25,"country,country pop,folk,easy listening,rock",Male,country
3,20,66,1978-05-20,Sun Ra,/wiki/Sun_Ra,Composer,Person,1914-05-22,"avant-garde jazz,free jazz,jazz fusion,experimental,bebop,space music",Male,experimental
4,1,67,1978-10-07,The Rolling Stones,/wiki/The_Rolling_Stones,Rock band,MusicGroup,,rock,,
4,2,68,1978-10-14,Devo,/wiki/Devo,Rock band,MusicGroup,,"new wave,synth-pop,art punk,post-punk,art pop,electronic rock,industrial,neo-psychedelia",,new wave
4,3,69,1978-10-21,Frank Zappa,/wiki/Frank_Zappa,Musician,Person,1940-12-21,"rock,experimental,jazz,classical,pop,avant-garde",Male,jazz
4,4,70,1978-11-04,Van Morrison,/wiki/Van_Morrison,Singer-songwriter,Person,1945-08-31,"rock,rhythm and blues,folk,blues,soul,celtic,jazz,country,gospel",Male,soul
4,5,71,1978-11-11,Grateful Dead,/wiki/Grateful_Dead,Rock band,MusicGroup,,rock,,
4,6,72,1978-11-18,The Blues Brothers,/wiki/The_Blues_Brothers,Musical band,MusicGroup,,"blues,rhythm and blues",,blues
4,8,74,1978-12-09,Kate Bush,/wiki/Kate_Bush,Singer-songwriter,Person,1958-07-30,"art rock,art pop,avant-pop,pop rock,experimental pop,baroque pop",Female,pop rock
4,9,75,1978-12-16,Peter Tosh,/wiki/Peter_Tosh,Musician,Person,1944-10-19,"reggae,ska,rocksteady,r&b",Male,r&b
4,9,75,1978-12-16,Mick Jagger,/wiki/Mick_Jagger,Singer,Person,1943-07-26,"rock,blues,pop",Male,blues
4,10,76,1979-01-27,The Doobie Brothers,/wiki/The_Doobie_Brothers,Rock band,MusicGroup,,"rock,soft rock,pop,blue-eyed soul",,soft rock
4,11,77,1979-02-10,Talking Heads,/wiki/Talking_Heads,Rock band,MusicGroup,,"new wave,post-punk,art pop,avant-funk,worldbeat,art punk",,new wave
4,12,78,1979-02-17,Judy Collins,/wiki/Judy_Collins,Singer,Person,1939-05-01,"folk,country,rock and roll,pop",Female,country
4,13,79,1979-02-24,Delbert McClinton,/wiki/Delbert_McClinton,Singer-songwriter,Person,1940-11-04,"americana,blues rock,electric blues,roots rock,country",Male,country
4,14,80,1979-03-10,Eubie Blake,/wiki/Eubie_Blake,Composer,Person,1887-02-07,"jazz,popular,ragtime",Male,jazz
4,14,80,1979-03-10,Gregory Hines,/wiki/Gregory_Hines,Dancer,Person,1946-02-14,,Male,
4,14,80,1979-03-10,Rick Danko,/wiki/Rick_Danko,Musician,Person,1943-12-29,"rock,americana",Male,americana
4,14,80,1979-03-10,Paul Butterfield,/wiki/Paul_Butterfield,Singer,Person,1942-12-17,"blues rock,chicago blues,blue-eyed soul",Male,blues rock
4,15,81,1979-03-17,The Chieftains,/wiki/The_Chieftains,Musical band,MusicGroup,,"traditional irish,irish folk,celtic",,celtic
4,16,82,1979-04-07,Rickie Lee Jones,/wiki/Rickie_Lee_Jones,Vocalist,Person,1954-11-08,"rock,jazz,r&b,pop",Female,r&b
4,17,83,1979-04-14,Ornette Coleman,/wiki/Ornette_Coleman,Saxophonist,Person,1930-03-09,"avant-garde jazz,free jazz,jazz-fusion,free funk",Male,free jazz
4,18,84,1979-05-12,James Taylor,/wiki/James_Taylor,Singer-songwriter,Person,1948-03-12,"folk rock,rock,pop,soft rock,blues,country",Male,folk rock
4,19,85,1979-05-19,Linda Ronstadt,/wiki/Linda_Ronstadt,Singer,Person,1946-07-15,"rock,rock and roll,folk,country rock,soft rock,jazz,big band,art rock,latin",Female,jazz
4,19,85,1979-05-19,Phoebe Snow,/wiki/Phoebe_Snow_(singer),Singer-songwriter,Person,1950-07-17,"blues,country blues,jazz blues,folk,gospel,jazz,r&b,rock,rock and roll,soul",Female,r&b
4,20,86,1979-05-26,Bette Midler,/wiki/Bette_Midler,Singer-songwriter,Person,1945-12-01,"traditional pop,vocal,pop,musical comedy",Female,traditional pop
5,1,87,1979-10-13,Blondie,/wiki/Blondie_(band),Rock band,MusicGroup,,"new wave,pop rock",,pop rock
5,2,88,1979-10-20,Bob Dylan,/wiki/Bob_Dylan,Songwriter,Person,1941-05-24,"folk,blues,rock,country,gospel,great american songbook",Male,country
5,3,89,1979-11-03,Chicago,/wiki/Chicago_(band),Rock band,MusicGroup,,"rock,soft rock,jazz rock",,soft rock
5,4,90,1979-11-10,Tom Petty and the Heartbreakers,/wiki/Tom_Petty_and_the_Heartbreakers,Rock band,MusicGroup,,"rock,heartland rock,blues rock,hard rock,jangle pop,glam rock",,hard rock
5,5,91,1979-11-17,The Roches,/wiki/The_Roches,Trio,MusicGroup,1979-11-17,"folk rock,folk",,folk rock
5,6,92,1979-12-08,Randy Newman,/wiki/Randy_Newman,Singer-songwriter,Person,1943-11-28,"rock,pop",Male,
5,7,93,1979-12-15,David Bowie,/wiki/David_Bowie,Singer-songwriter,Person,1947-01-08,"art rock,glam rock,pop,electronic,experimental",Male,art rock
5,8,94,1979-12-22,Desmond Child & Rouge,/wiki/Desmond_Child,Musician,Person,1953-10-28,"pop rock,adult contemporary,hard rock,glam metal,disco,latin pop",Male,pop rock
5,9,95,1980-01-26,The B-52's,/wiki/The_B-52%27s,Rock band,MusicGroup,,"new wave,dance-rock,art pop",,new wave
5,10,96,1980-02-09,Marianne Faithfull,/wiki/Marianne_Faithfull,Singer,Person,1946-12-29,"rock,folk,alternative,blues,jazz",Female,jazz
5,10,96,1980-02-09,Tom Scott,/wiki/Tom_Scott_(musician),Saxophonist,Person,1948-05-19,"jazz,blues,r&b,rock,pop",Male,r&b
5,11,97,1980-02-16,Gary Numan,/wiki/Gary_Numan,Singer-songwriter,Person,1958-03-08,"new wave,synthpop,post-punk,electronic,industrial rock,gothic rock",Male,new wave
5,12,98,1980-02-23,Sam & Dave,/wiki/Sam_%26_Dave,R&B duo,MusicGroup,,"soul,r&b,southern soul,rock and roll",,r&b
5,13,99,1980-03-08,The J. Geils Band,/wiki/The_J._Geils_Band,Rock band,MusicGroup,,"rock,blues rock,new wave",,new wave
5,14,100,1980-03-15,Paul Simon,/wiki/Paul_Simon,Musician,Person,1941-10-13,"folk,rock,pop,world",Male,folk
5,14,100,1980-03-15,James Taylor,/wiki/James_Taylor,Singer-songwriter,Person,1948-03-12,"folk rock,rock,pop,soft rock,blues,country",Male,folk rock
5,14,100,1980-03-15,David Sanborn,/wiki/David_Sanborn,Saxophonist,Person,1945-07-30,"jazz,jazz fusion,r&b,funk",Male,r&b
5,15,101,1980-04-05,The Grateful Dead,/wiki/The_Grateful_Dead,Rock band,MusicGroup,,rock,,
5,16,102,1980-04-12,Anne Murray,/wiki/Anne_Murray,Singer,Person,1945-06-20,"country,pop,adult contemporary,soft rock",Female,country
5,17,103,1980-04-19,The Specials,/wiki/The_Specials,Musical band,MusicGroup,,"2 tone,ska,reggae,punk rock",,punk rock
5,18,104,1980-05-10,The Amazing Rhythm Aces,/wiki/Amazing_Rhythm_Aces,Musical Group,MusicGroup,,"country rock,soft rock,southern rock",,soft rock
5,18,104,1980-05-10,Bruce Cockburn,/wiki/Bruce_Cockburn,Singer-songwriter,Person,1945-05-27,"folk,rock",Male,folk
5,19,105,1980-05-17,Paul McCartney,/wiki/Paul_McCartney,Singer-songwriter,Person,1942-06-18,"rock,pop,classical,electronic",Male,classical
5,19,105,1980-05-17,Linda McCartney,/wiki/Linda_McCartney,Musician,Person,1941-09-24,rock,Female,
5,20,106,1980-05-24,Andrew Gold,/wiki/Andrew_Gold,Singer-songwriter,Person,1951-08-02,"pop,pop rock,soft rock",Male,pop rock
5,20,106,1980-05-24,Andrae Crouch & the Voices of Unity,/wiki/Andrae_Crouch,Singer,Person,1942-07-01,"gospel,contemporary christian",Male,gospel
6,1,107,1980-11-15,Kid Creole & the Coconuts,/wiki/Kid_Creole_%26_the_Coconuts,Musical Group,MusicGroup,,"latin,disco",,latin
6,2,108,1980-11-22,Captain Beefheart & His Magic Band,/wiki/Captain_Beefheart_%26_His_Magic_Band,Singer-songwriter,Person,1941-01-15,"experimental rock,blues rock,avant-garde,free jazz,art rock,spoken word,psychedelia",Male,blues rock
6,3,109,1980-12-06,Aretha Franklin,/wiki/Aretha_Franklin,Singer-songwriter,Person,1942-03-25,"soul,pop,gospel,jazz,r&b",Female,r&b
6,4,110,1980-12-13,James Brown,/wiki/James_Brown_(musician),Singer,Person,1933-05-03,"funk,soul,rhythm and blues",Male,soul
6,4,110,1980-12-13,Ellen Shipley,/wiki/Ellen_Shipley,Musician,Person,,,Female,
6,5,111,1980-12-20,Linda Ronstadt,/wiki/Linda_Ronstadt,Singer,Person,1946-07-15,"rock,rock and roll,folk,country rock,soft rock,jazz,big band,art rock,latin",Female,jazz
6,6,112,1981-01-10,Jack Bruce & Friends,/wiki/Jack_Bruce_%26_Friends,Musician,Person,1943-05-14,"rock,jazz-rock,blues-rock,latin",Male,latin
6,7,113,1981-01-17,Cheap Trick,/wiki/Cheap_Trick,Rock band,MusicGroup,,"rock,hard rock,power pop",,hard rock
6,7,113,1981-01-17,Stanley Clarke Trio,/wiki/Stanley_Clarke_Trio,Musician,Person,1951-06-30,"jazz,jazz fusion,funk,r&b",Male,r&b
6,8,114,1981-01-24,"Joe ""King"" Carrasco & the Crowns",/wiki/Joe_Carrasco,Vocalist,Person,,"new wave,tex-mex",Male,new wave
6,9,115,1981-02-07,Jimmy Cliff,/wiki/Jimmy_Cliff,Musician,Person,1948-04-01,"ska,reggae",Male,reggae
6,10,116,1981-02-14,Funky Four Plus One,/wiki/Funky_Four_Plus_One,Hip hop group,MusicGroup,,hip hop,,hip hop
6,11,117,1981-02-21,Todd Rundgren,/wiki/Todd_Rundgren,Multi-instrumentalist,Person,1948-06-22,"art rock,progressive rock,progressive pop,soul,electronic",Male,soul
6,11,117,1981-02-21,Prince,/wiki/Prince_(singer),Singer-songwriter,Person,1958-06-07,"funk,pop,r&b,rock",Male,r&b
6,12,118,1981-03-07,Delbert McClinton,/wiki/Delbert_McClinton,Singer-songwriter,Person,1940-11-04,"americana,blues rock,electric blues,roots rock,country",Male,country
6,13,119,1981-04-11,Jr. Walker & the All-Stars,/wiki/Jr._Walker_%26_the_All-Stars,Musician,Person,1931-06-14,"r&b,disco",Male,r&b
7,1,120,1981-10-03,Rod Stewart,/wiki/Rod_Stewart,Singer-songwriter,Person,1945-01-10,"rock,pop,blue-eyed soul,blues rock,folk rock",Male,folk rock
7,2,121,1981-10-10,The Kinks,/wiki/The_Kinks,Rock band,MusicGroup,,"rock,pop",,
7,3,122,1981-10-17,Miles Davis,/wiki/Miles_Davis,Jazz trumpeter,Person,1926-05-26,jazz,Male,jazz
7,4,123,1981-10-31,Fear,/wiki/Fear_(band),Rock band,MusicGroup,,"hardcore punk,punk rock",,punk rock
7,5,124,1981-11-07,Rick James,/wiki/Rick_James,Musician,Person,1948-02-01,"r&b,soul,funk rock,doo-wop,quiet storm,dance-punk",Male,r&b
7,6,125,1981-11-14,The Go-Go's,/wiki/The_Go-Go%27s,Rock band,MusicGroup,,"pop rock,new wave,punk rock",,pop rock
7,6,125,1981-11-14,Billy Joel,/wiki/Billy_Joel,Singer-songwriter,Person,1949-05-09,"rock,soft rock,piano rock,pop",Male,soft rock
7,7,126,1981-12-05,Meat Loaf,/wiki/Meat_Loaf,Musician,Person,1947-09-27,"rock,hard rock,heavy metal,progressive rock,wagnerian rock",Male,hard rock
7,8,127,1981-12-12,The Spinners,/wiki/The_Spinners_(soul_music),Musical Group,MusicGroup,,"r&b,smooth soul",,r&b
7,8,127,1981-12-12,The Whiffenpoofs,/wiki/The_Whiffenpoofs,Musical Group,MusicGroup,,a cappella,,a cappella
7,9,128,1982-01-23,The Allman Brothers Band,/wiki/The_Allman_Brothers_Band,Rock band,MusicGroup,,"southern rock,jam band,blues rock,country rock,jazz rock",,blues rock
7,10,129,1982-01-30,Jennifer Holliday,/wiki/Jennifer_Holliday,Actress,Person,1960-10-19,"r&b,soul,pop,house,dance,gospel",Female,r&b
7,11,130,1982-02-06,Lindsey Buckingham,/wiki/Lindsey_Buckingham,Musician,Person,1949-10-03,"rock,pop,new wave",Male,new wave
7,12,131,1982-02-20,Luther Vandross,/wiki/Luther_Vandross,Singer-songwriter,Person,1951-04-20,"r&b,soul,pop,quiet storm",Male,r&b
7,13,132,1982-02-27,Hall & Oates,/wiki/Hall_%26_Oates,Duo,MusicGroup,,"pop rock,blue-eyed soul,soft rock,jazz,rhythm and blues",,pop rock
7,14,133,1982-03-20,Mink DeVille,/wiki/Mink_DeVille,Rock band,MusicGroup,,"rock,punk rock,soul,rhythm and blues,blues,cabaret,cajun,latin",,soul
7,15,134,1982-03-27,Rickie Lee Jones,/wiki/Rickie_Lee_Jones,Vocalist,Person,1954-11-08,"rock,jazz,r&b,pop",Female,r&b
7,16,135,1982-04-10,John Cougar Mellencamp,/wiki/John_Mellencamp,Musician,Person,1951-10-07,"rock,heartland rock,roots rock,folk rock",Male,folk rock
7,17,136,1982-04-17,Elton John,/wiki/Elton_John,Singer,Person,1947-03-25,"rock,piano rock,pop rock,glam rock,soft rock,rhythm and blues",Male,pop rock
7,18,137,1982-04-24,The Charlie Daniels Band,/wiki/The_Charlie_Daniels_Band,Instrumentalist,Person,1936-10-28,"bluegrass,country,rock,southern rock,outlaw country,country rock,blues rock,rock and roll,blues,gospel",Male,country
7,19,138,1982-05-15,Sparks,/wiki/Sparks_(band),Pop band,MusicGroup,,"art rock,glam rock,chamber pop,new wave,synth-pop,power pop",,new wave
7,20,139,1982-05-22,Olivia Newton-John,/wiki/Olivia_Newton-John,Singer,Person,1948-09-26,"pop,country,soft rock,pop rock",Female,pop rock
8,1,140,1982-09-25,Queen,/wiki/Queen_(band),Rock band,MusicGroup,,rock,,
8,2,141,1982-10-02,George Thorogood & the Destroyers,/wiki/George_Thorogood_%26_the_Destroyers,Musician,Person,1950-02-24,"blues rock,boogie rock",Male,blues rock
8,3,142,1982-10-09,The Clash,/wiki/The_Clash,Rock band,MusicGroup,,"punk rock,post-punk",,punk rock
8,4,143,1982-10-23,Men at Work,/wiki/Men_at_Work,Rock band,MusicGroup,,"new wave,pop rock,reggae rock",,pop rock
8,5,144,1982-10-30,The New Joe Jackson Band,/wiki/The_New_Joe_Jackson_Band,Musician,Person,1954-08-11,"punk rock,ska,new wave,jazz pop,jazz,classical",Male,jazz
8,6,145,1982-11-13,Kenny Loggins,/wiki/Kenny_Loggins,Singer,Person,1948-01-07,"rock,country,children's music,soft rock",Male,country
8,7,146,1982-11-20,Squeeze,/wiki/Squeeze_(band),Duo,MusicGroup,,"new wave,pop rock,power pop,post-punk",,pop rock
8,8,147,1982-12-04,Laura Branigan,/wiki/Laura_Branigan,Singer,Person,1952-07-03,"pop,dance,pop rock",Female,pop rock
8,9,148,1982-12-11,Lionel Richie,/wiki/Lionel_Richie,Singer-songwriter,Person,1949-06-20,"soul,r&b,pop,pop rock,soft rock,country,gospel",Male,r&b
8,10,149,1983-01-22,Pervis Hawkins,/wiki/Pervis_Hawkins,Actress,Person,1939-09-01,"r&b,soul",Female,r&b
8,11,150,1983-01-29,The Bus Boys,/wiki/The_Bus_Boys,Musical Group,MusicGroup,,"rock and roll,soul,funk,rhythm and blues",,soul
8,12,151,1983-02-05,Joe Cocker,/wiki/Joe_Cocker,Singer,Person,1944-05-20,"rock,blues,soul,pop",Male,soul
