season,epnumInSeason,epnum,date,name,wikilink,description,types,bday,genres,gender
26,3,488,2000-10-21,Dana Carvey,/wiki/Dana_Carvey,Actor,"Thing,Person",1955-06-02,"Improvisational,Observational,Character comedy,Satire",Male
26,4,489,2000-11-04,Charlize Theron,/wiki/Charlize_Theron,Actress,"Person,Thing",1975-08-07,,Female
26,5,490,2000-11-11,Calista Flockhart,/wiki/Calista_Flockhart,Actress,"Person,Thing",1964-11-11,,Female
26,6,491,2000-11-18,Tom Green,/wiki/Tom_Green,Actor,"Person,Thing",1971-07-30,,Male
26,7,492,2000-12-09,Val Kilmer,/wiki/Val_Kilmer,Actor,"Person,Thing",1959-12-31,,Male
26,8,493,2000-12-16,Lucy Liu,/wiki/Lucy_Liu,Actress,"Person,Thing",1968-12-02,,Female
26,9,494,2001-01-13,Charlie Sheen,/wiki/Charlie_Sheen,Actor,"Person,Thing",1965-09-03,,Male
26,10,495,2001-01-20,Mena Suvari,/wiki/Mena_Suvari,Actress,"Person,Thing",1979-02-13,,Female
26,11,496,2001-02-10,Jennifer Lopez,/wiki/Jennifer_Lopez,Singer,"Thing,Person",1969-07-24,"R&B,pop,Latin,hip hop,dance",Female
26,12,497,2001-02-17,Sean Hayes,/wiki/Sean_Hayes_(actor),Actor,"Person,Thing",1970-06-26,,Male
26,13,498,2001-02-24,Katie Holmes,/wiki/Katie_Holmes,Actress,"Person,Thing",1978-12-18,,Female
26,14,499,2001-03-10,Conan O'Brien,/wiki/Conan_O%27Brien,Television host,"Thing,Person",1963-04-18,"Improvisational comedy,sketch comedy,physical comedy,surreal humor,self-deprecation,black comedy,musical comedy,satire",Male
26,15,500,2001-03-17,Julia Stiles,/wiki/Julia_Stiles,Actress,"Person,Thing",1981-03-28,,Female
26,16,501,2001-04-07,Alec Baldwin,/wiki/Alec_Baldwin,Actor,"Person,Thing",1958-04-03,,Male
26,17,502,2001-04-14,Renée Zellweger,/wiki/Ren%C3%A9e_Zellweger,Actress,"Person,Thing",1969-04-25,,Female
26,18,503,2001-05-05,Pierce Brosnan,/wiki/Pierce_Brosnan,Actor,"Person,Thing",1953-05-16,,Male
26,19,504,2001-05-12,Lara Flynn Boyle,/wiki/Lara_Flynn_Boyle,Actress,"Thing,Person",1970-03-24,,Female
26,20,505,2001-05-19,Christopher Walken,/wiki/Christopher_Walken,Film actor,"Thing,Person",1943-03-31,,Male
27,1,506,2001-09-29,Reese Witherspoon,/wiki/Reese_Witherspoon,Actress,"Person,Thing",1976-03-22,,Female
27,2,507,2001-10-06,Seann William Scott,/wiki/Seann_William_Scott,Actor,"Person,Thing",1976-10-03,,Male
27,3,508,2001-10-13,Drew Barrymore,/wiki/Drew_Barrymore,Actress,"Person,Thing",1975-02-22,,Female
27,4,509,2001-11-03,John Goodman,/wiki/John_Goodman,Actor,"Person,Thing",1952-06-20,,Male
27,5,510,2001-11-10,Gwyneth Paltrow,/wiki/Gwyneth_Paltrow,Actress,"Person,Thing",1972-09-27,,Female
27,6,511,2001-11-17,Billy Bob Thornton,/wiki/Billy_Bob_Thornton,Actor,"Thing,Person",1955-08-04,"Country rock,blues rock",Male
27,7,512,2001-12-01,Derek Jeter,/wiki/Derek_Jeter,Baseball player,"Person,Thing",1974-06-26,,Male
27,8,513,2001-12-08,Hugh Jackman,/wiki/Hugh_Jackman,Actor,"Person,Thing",1968-10-12,,Male
27,9,514,2001-12-15,Ellen DeGeneres,/wiki/Ellen_DeGeneres,Comedian,"Person,Thing",1958-01-26,"Observational comedy,satire,surreal humor,anti-humor,deadpan",Female
27,10,515,2002-01-12,Josh Hartnett,/wiki/Josh_Hartnett,Actor,"Thing,Person",1978-07-21,,Male
27,11,516,2002-01-19,Jack Black,/wiki/Jack_Black_(actor),Actor,"Thing,Person",1969-08-28,"Acoustic rock,comedy rock,hard rock,heavy metal",Male
27,12,517,2002-02-02,Britney Spears,/wiki/Britney_Spears,Singer,"Person,Thing",1981-12-02,"Pop,dance",Female
27,13,518,2002-03-02,Jonny Moseley,/wiki/Jonny_Moseley,Television presenter,"Thing,Person",1975-08-27,,Male
27,14,519,2002-03-09,Jon Stewart,/wiki/Jon_Stewart,Comedian,"Person,Thing",1962-11-28,"Political,news satire,observational comedy,physical comedy,blue comedy,insult comedy,deadpan",Male
27,15,520,2002-03-16,Ian McKellen,/wiki/Ian_McKellen,Actor,"Person,Thing",1939-05-25,,Male
27,16,521,2002-04-06,Cameron Diaz,/wiki/Cameron_Diaz,Actress,"Thing,Person",1972-08-30,,Female
27,17,522,2002-04-13,Dwayne Johnson,/wiki/Dwayne_Johnson,Actor,"Person,Thing",1972-05-02,,Male
27,18,523,2002-04-20,Alec Baldwin,/wiki/Alec_Baldwin,Actor,"Person,Thing",1958-04-03,,Male
27,19,524,2002-05-11,Kirsten Dunst,/wiki/Kirsten_Dunst,Actress,"Thing,Person",1982-04-30,,Female
27,20,525,2002-05-18,Winona Ryder,/wiki/Winona_Ryder,Actress,"Person,Thing",1971-10-29,,Female
28,1,526,2002-10-05,Matt Damon,/wiki/Matt_Damon,Actor,"Person,Thing",1970-10-08,,Male
28,2,527,2002-10-12,Sarah Michelle Gellar,/wiki/Sarah_Michelle_Gellar,Actress,"Thing,Person",1977-04-14,,Female
28,3,528,2002-10-19,John McCain,/wiki/John_McCain,United States Senator,"Thing,Person",1936-08-29,,Male
28,4,529,2002-11-02,Eric McCormack,/wiki/Eric_McCormack,Actor,"Person,Thing",1963-04-18,,Male
28,5,530,2002-11-09,Nia Vardalos,/wiki/Nia_Vardalos,Actress,"Person,Thing",1962-09-24,,Female
28,6,531,2002-11-16,Brittany Murphy,/wiki/Brittany_Murphy,Film actress,"Thing,Person",1977-11-10,,Female
28,7,532,2002-12-07,Robert De Niro,/wiki/Robert_De_Niro,Actor,"Thing,Person",1943-08-17,,Male
28,8,533,2002-12-14,Al Gore,/wiki/Al_Gore,Former Vice President of the United States,"Thing,Person",1948-03-31,,Male
28,9,534,2003-01-11,Jeff Gordon,/wiki/Jeff_Gordon,Race car driver,"Person,Thing",1971-08-04,,Male
28,10,535,2003-01-18,Ray Liotta,/wiki/Ray_Liotta,Actor,"Person,Thing",1954-12-18,,Male
28,11,536,2003-02-08,Matthew McConaughey,/wiki/Matthew_McConaughey,Actor,"Person,Thing",1969-11-04,,Male
28,12,537,2003-02-15,Jennifer Garner,/wiki/Jennifer_Garner,Actress,"Thing,Person",1972-04-17,,Female
28,13,538,2003-02-22,Christopher Walken,/wiki/Christopher_Walken,Film actor,"Thing,Person",1943-03-31,,Male
28,14,539,2003-03-08,Queen Latifah,/wiki/Queen_Latifah,Rapper,"Person,Thing",1970-03-18,"R&B,soul,jazz,hip hop,gospel,dance",Female
28,15,540,2003-03-15,Salma Hayek,/wiki/Salma_Hayek,Film actress,"Thing,Person",1966-09-02,,Female
28,16,541,2003-04-05,Bernie Mac,/wiki/Bernie_Mac,Comedian,"Thing,Person",1957-10-05,"Observational comedy,satire,black comedy,insult comedy",Male
28,17,542,2003-04-12,Ray Romano,/wiki/Ray_Romano,Stand-up comedian,"Person,Thing",1957-12-21,"Observational comedy,blue comedy,slapstick",Male
28,18,543,2003-05-03,Ashton Kutcher,/wiki/Ashton_Kutcher,Actor,"Thing,Person",1978-02-07,,Male
28,19,544,2003-05-10,Adrien Brody,/wiki/Adrien_Brody,Actor,"Thing,Person",1973-04-14,,Male
28,20,545,2003-05-17,Dan Aykroyd,/wiki/Dan_Aykroyd,Actor,"Thing,Person",1952-07-01,"Sketch comedy,improvisational,musical comedy",Male
29,1,546,2003-10-04,Jack Black,/wiki/Jack_Black,Actor,"Thing,Person",1969-08-28,"Acoustic rock,comedy rock,hard rock,heavy metal",Male
29,2,547,2003-10-11,Justin Timberlake,/wiki/Justin_Timberlake,Singer-songwriter,"Thing,Person",1981-01-31,"Pop,R&B,neo soul",Male
29,3,548,2003-10-18,Halle Berry,/wiki/Halle_Berry,Actress,"Person,Thing",1966-08-14,,Female
29,4,549,2003-11-01,Kelly Ripa,/wiki/Kelly_Ripa,Actress,"Thing,Person",1970-10-02,,Female
29,5,550,2003-11-08,Andy Roddick,/wiki/Andy_Roddick,Tennis player,"Person,Thing",1982-08-30,,Male
29,6,551,2003-11-15,Alec Baldwin,/wiki/Alec_Baldwin,Actor,"Person,Thing",1958-04-03,,Male
29,7,552,2003-12-06,Al Sharpton,/wiki/Al_Sharpton,Activist,"Person,Thing",1954-10-03,,Male
